geo,year,expenditure
TR,2001,0.085
UK,2001,0.22899999999999998
AT,2000,0.271
BE,2000,0.24
CH,2000,0.20800000000000002
CY,2000,0.135
CZ,2000,0.17300000000000001
DE,2000,0.278
DK,2000,0.27399999999999997
EE,2000,0.136
EL,2000,0.175
ES,2000,0.19
FI,2000,0.23600000000000002
FR,2000,0.272
HU,2000,0.192
IE,2000,0.14400000000000002
IS,2000,0.182
IT,2000,0.22699999999999998
LT,2000,0.152
LU,2000,0.18
LV,2000,0.149
MT,2000,0.162
NL,2000,0.22699999999999998
NO,2000,0.235
PL,2000,0.19
PT,2000,0.185
RO,2000,0.127
SE,2000,0.27399999999999997
SI,2000,0.23199999999999998
SK,2000,0.185
TR,2000,0.077
UK,2000,0.22399999999999998
AT,1999,0.276
BE,1999,0.24600000000000002
CH,1999,0.213
CZ,1999,0.172
DE,1999,0.276
DK,1999,0.28300000000000003
EE,1999,0.15
EL,1999,0.20800000000000002
ES,1999,0.187
FI,1999,0.247
FR,1999,0.27699999999999997
HU,1999,0.19899999999999998
IE,1999,0.136
IS,1999,0.18
IT,1999,0.23
LT,1999,0.158
LU,1999,0.192
LV,1999,0.163
MT,1999,0.16899999999999998
NL,1999,0.231
NO,1999,0.258
PL,1999,0
PT,1999,0.179
SE,1999,0.284
SI,1999,0.22899999999999998
SK,1999,0.191
UK,1999,0.218
AT,1998,0.272
BE,1998,0.249
CH,1998,0.212
CZ,1998,0.166
DE,1998,0.272
DK,1998,0.287
EL,1998,0.198
ES,1998,0.191
FI,1998,0.254
FR,1998,0.278
IE,1998,0.142
IS,1998,0.175
IT,1998,0.22699999999999998
LT,1998,0.147
LU,1998,0.196
LV,1998,0.14800000000000002
MT,1998,0.17
NL,1998,0.237
NO,1998,0.258
PL,1998,0
PT,1998,0.175
SE,1998,0.287
SI,1998,0.231
SK,1998,0.188
UK,1998,0.22
AT,1997,0.275
BE,1997,0.251
CH,1997,0.213
CZ,1997,0.165
DE,1997,0.273
DK,1997,0.28800000000000003
EL,1997,0.19
ES,1997,0.19699999999999998
FI,1997,0.275
FR,1997,0.282
IE,1997,0.154
IS,1997,0.17800000000000002
IT,1997,0.231
LT,1997,0.133
LU,1997,0.196
LV,1997,0.14300000000000002
MT,1997,0.172
NL,1997,0.247
NO,1997,0.24100000000000002
