region,year_gdp,log_gdp
BE21,2002,10.863750766927387
BE21,2003,10.927405209820149
BE21,2004,10.992897294024488
BE21,2005,11.026713263667284
BE21,2006,11.088625947691403
BE21,2007,11.112521925483776
BE21,2008,11.082324532317783
BE21,2009,11.127776675725547
BE21,2010,11.169922771255667
BE21,2011,11.201149860443504
BE21,2012,11.217555650745698
BE21,2013,11.238610717077385
BE21,2014,11.28225049861566
BE21,2015,11.318256876328414
BE21,2016,11.351588425001081
BE21,2017,11.383899678270385
BE21,2018,11.424228340633887
BE21,2019,11.387238651591463
BE22,1999,9.71032807709948
BE22,2000,9.742737645630099
BE22,2001,9.777380530935456
BE22,2002,9.810347067241414
BE22,2003,9.839606948257122
BE22,2004,9.864993575246357
BE22,2005,9.930195206736556
BE22,2006,9.990326956405895
BE22,2007,10.027808281935924
BE22,2008,9.967357256315223
BE22,2009,10.019676874460721
BE22,2010,10.071257073521377
BE22,2011,10.091331748115381
BE22,2012,10.106405130956054
BE22,2013,10.146125840615838
BE22,2014,10.161213770181426
BE22,2015,10.195780229795592
BE22,2016,10.234684111496211
BE22,2017,10.266031937555347
BE22,2018,10.291226815342743
BE22,2019,10.242571732205128
BE23,1999,10.295650916741652
BE23,2000,10.32567210845106
BE23,2001,10.370795050484094
BE23,2002,10.407164988775694
BE23,2003,10.455998733844472
BE23,2004,10.491082810232168
BE23,2005,10.548147760459443
BE23,2006,10.614779860046204
BE23,2007,10.6317371218116
BE23,2008,10.62776366126781
BE23,2009,10.66978412095464
BE23,2010,10.709864083112347
BE23,2011,10.73781740488751
BE23,2012,10.761116223011685
BE23,2013,10.777277798678135
BE23,2014,10.82376751683131
BE23,2015,10.85944985744943
BE23,2016,10.902431059814688
BE23,2017,10.92664578399722
BE23,2018,10.958455116527064
BE23,2019,10.910680034077112
BE24,1999,10.152112478456878
BE24,2000,10.207716959563417
BE24,2001,10.216720405831914
BE24,2002,10.259169103223128
BE24,2003,10.31972443619758
BE24,2004,10.365387812993696
BE24,2005,10.428882427460639
BE24,2006,10.482928376480238
BE24,2007,10.509523623860622
BE24,2008,10.519410757395683
BE24,2009,10.547319743729988
BE24,2010,10.579689469644872
BE24,2011,10.621682648412614
BE24,2012,10.640761660304918
BE24,2013,10.663376606319664
BE24,2014,10.704307722923309
BE24,2015,10.748254999841095
BE24,2016,10.782424643192932
BE24,2017,10.818646243894138
BE24,2018,10.858303178614621
BE24,2019,10.81397045155227
BE25,1999,10.182219819692074
BE25,2000,10.209921332614348
BE25,2001,10.236347558615316
BE25,2002,10.265757714009936
BE25,2003,10.314581455878026
BE25,2004,10.353072252110383
BE25,2005,10.418443036676988
BE25,2006,10.47867799485427
BE25,2007,10.486587418199717
BE25,2008,10.460170185833395
BE25,2009,10.505940309281204
BE25,2010,10.540721837393924
BE25,2011,10.571263333932212
BE25,2012,10.59505774029631
BE25,2013,10.622622360451274
BE25,2014,10.647865250513192
BE25,2015,10.685738419678584
BE25,2016,10.719187707816998
BE25,2017,10.749930333161096
BE25,2018,10.787395578703872
BE25,2019,10.727905290708026
BE3,1999,11.004341826076878
BE3,2000,11.029565191567784
BE3,2001,11.056407612487407
BE3,2002,11.088175238634964
BE3,2003,11.146050246087762
BE3,2004,11.192401830579234
BE3,2005,11.230764522988858
BE3,2006,11.284964955719774
BE3,2007,11.321828153638187
BE3,2008,11.301867339807792
BE3,2009,11.358228335866757
BE3,2010,11.38438150013961
BE3,2011,11.399945662796426
BE3,2012,11.416345619481447
BE3,2013,11.445021821487588
BE3,2014,11.465726094816779
BE3,2015,11.49674303285272
BE3,2016,11.531757032705352
BE3,2017,11.577820016471467
BE3,2018,11.621904794814292
BE3,2019,11.574946006155365
BE31,1999,9.06654621112359
