NUTS3,UKF25,North Northamptonshire,"3,805","3,908","4,097","4,217","4,278","4,540","4,718","4,871","5,171","5,459","5,634","5,426","5,772","5,800","6,117","6,427","6,755","6,956","7,637","8,235","8,378"
NUTS2,UKF3,Lincolnshire,"8,306","8,638","8,899","10,003","10,828","11,405","11,313","11,930","12,610","13,245","13,248","13,319","13,749","13,930","14,695","15,476","15,840","16,118","16,340","17,091","17,627"
NUTS3,UKF30,Lincolnshire,"8,306","8,638","8,899","10,003","10,828","11,405","11,313","11,930","12,610","13,245","13,248","13,319","13,749","13,930","14,695","15,476","15,840","16,118","16,340","17,091","17,627"
NUTS1,UKG,West Midlands,"79,385","82,152","84,542","87,390","91,077","95,562","100,117","104,426","108,637","111,878","114,419","110,219","115,096","120,144","123,844","129,668","135,526","140,587","147,198","153,759","159,832"
NUTS2,UKG1,"Herefordshire, Worcestershire and Warwickshire","18,464","19,559","20,484","20,945","21,780","23,015","23,786","24,751","26,327","26,768","27,757","26,586","27,576","29,476","31,025","32,848","34,629","36,096","36,882","39,409","40,716"
NUTS3,UKG11,"Herefordshire, County of","2,541","2,679","2,840","2,944","3,101","3,157","2,988","3,053","3,192","3,291","3,436","3,315","3,344","3,585","3,745","3,863","4,191","4,120","4,283","4,437","4,478"
NUTS3,UKG12,Worcestershire,"7,340","7,647","8,030","8,164","8,431","8,995","9,474","9,772","10,385","10,503","11,005","10,584","10,907","11,524","12,359","12,797","13,338","13,934","13,898","14,689","15,059"
NUTS3,UKG13,Warwickshire,"8,583","9,233","9,614","9,837","10,249","10,863","11,324","11,926","12,750","12,974","13,316","12,688","13,326","14,367","14,922","16,189","17,100","18,042","18,701","20,283","21,179"
NUTS2,UKG2,Shropshire and Staffordshire,"21,376","21,939","22,578","23,550","24,909","26,152","27,595","28,533","29,552","30,360","31,230","30,052","31,603","32,554","33,329","34,717","35,553","36,629","38,605","40,239","41,664"
NUTS3,UKG21,Telford and Wrekin,"2,776","2,837","2,893","3,040","3,180","3,326","3,424","3,547","3,636","3,771","3,898","3,650","3,839","3,898","3,727","3,848","3,939","3,976","4,582","5,113","5,386"
NUTS3,UKG22,Shropshire CC,"4,421","4,651","4,932","5,326","5,666","5,915","6,127","6,213","6,294","6,392","6,325","6,404","6,751","6,821","6,915","6,362","6,506","6,699","7,093","7,382","7,465"
NUTS3,UKG23,Stoke-on-Trent,"2,958","3,043","3,097","3,162","3,326","3,521","3,794","3,968","4,277","4,444","4,749","4,655","4,802","4,957","5,084","6,486","6,570","6,674","7,301","7,823","8,013"
NUTS3,UKG24,Staffordshire CC,"11,222","11,408","11,657","12,021","12,737","13,391","14,250","14,805","15,343","15,753","16,258","15,343","16,211","16,878","17,603","18,020","18,538","19,280","19,629","19,921","20,799"
NUTS2,UKG3,West Midlands,"39,544","40,653","41,479","42,896","44,388","46,395","48,737","51,143","52,758","54,750","55,432","53,581","55,917","58,114","59,489","62,102","65,344","67,861","71,711","74,111","77,452"
NUTS3,UKG31,Birmingham,"15,703","16,106","16,555","17,153","17,968","18,906","19,963","21,012","21,490","22,513","22,806","22,196","22,884","23,596","23,830","25,785","27,072","27,694","29,346","30,114","31,920"
