geo,eu_fborn,fborn,native_born,non_eu_fborn,OTH,total_pop,UNK,pct_fborn,pct_non_eu_fborn,pct_eu_fborn,pct_fborn_sq,pct_non_eu_fborn_sq,pct_eu_fborn_sq,country_code,non_eu_prop
ELZ,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,EL,NA
ES,1890605,5648995,41153550,3758390,0,46815910,13370,0.12066400076384289,0.08028018679974393,0.04038381396409896,0.014559801080336677,0.006444908392601779,0.001630852430286954,ES,0.665320114462838
ES1,89515,286965,4152730,197450,0,4440655,955,0.06462222352333158,0.044464161255490464,0.020158062267841118,0.004176031773099429,0.0019770616361542595,4.063474743941598e-4,ES,0.6880630041991184
ES11,54335,178325,2593930,123990,0,2772930,675,0.06430923247251102,0.044714435633066825,0.0195947968394442,0.004135677381203466,0.001999380753983676,3.839560631790924e-4,ES,0.6953035188560213
ES12,22870,64630,1010395,41765,0,1075185,160,0.06011058562014909,0.038844477927054415,0.021270758055590432,0.0036132825035972748,0.0015088934654254177,4.5244514825946525e-4,ES,0.6462169271236268
ES13,12315,44010,548410,31695,0,592540,125,0.07427346677017585,0.053490059742802173,0.02078340702737368,0.005516547866060416,0.002861186491288546,4.3195000766548566e-4,ES,0.7201772324471711
ES2,144800,433565,4056180,288760,0,4491205,1455,0.09653645291185774,0.06429454901301544,0.032240790611873654,0.009319286740803326,0.004133789032787045,0.0010394685792786804,ES,0.6660131698822552
ES21,36800,151615,2033250,114815,0,2185395,530,0.06937647427581742,0.05253741314499209,0.016839061130825318,0.004813095182943156,0.002760179779967588,2.83553979767672e-4,ES,0.757279952511295
ES22,21170,72025,567930,50860,0,640130,175,0.11251620764532204,0.07945261118835237,0.03307140737037789,0.012659896982885225,0.006312717424647496,0.0010937179854574853,ES,0.7061437001041305
ES23,14665,43670,277390,29005,0,321175,110,0.13596948703977582,0.09030902156145404,0.04566046547832179,0.018487701405859765,0.00815571937538717,0.002084878107697016,ES,0.6641859400045799
ES24,72170,166250,1177615,94085,0,1344510,645,0.12365099552997003,0.06997716640262995,0.053677547954273305,0.015289568695552667,0.0048968038177413615,0.0028812791543833104,ES,0.5659248120300752
ES3,308520,1022745,5396600,714225,0,6421875,2530,0.15925956204379563,0.11121751824817518,0.04804204379562044,0.02536360810238159,0.012369336365283179,0.002308037972060312,ES,0.6983412287520349
ES30,308520,1022745,5396600,714225,0,6421875,2530,0.15925956204379563,0.11121751824817518,0.04804204379562044,0.02536360810238159,0.012369336365283179,0.002308037972060312,ES,0.6983412287520349
ES4,184855,437055,5312130,252195,0,5751015,1835,0.07599615024478287,0.04385225912295482,0.032143021710080745,0.005775414852027612,0.001923020630186774,0.0010331738446547221,ES,0.5770326389127227
ES41,77460,180525,2358590,103065,0,2540190,1070,0.07106751857144544,0.04057373661025356,0.03049378196119188,0.005050592195902743,0.0016462281025182302,9.298707382967114e-4,ES,0.5709181553801412
ES42,88315,213205,1892655,124890,0,2106330,475,0.10122108121709324,0.05929270342254063,0.04192837779455261,0.010245707282757385,0.0035156246791533613,0.0017579888644827322,ES,0.5857742548251683
ES43,19080,43325,1060885,24240,0,1104500,290,0.0392258940697148,0.021946582163875055,0.01727478497057492,0.0015386707655684869,4.816524686757187e-4,2.9841819577960114e-4,ES,0.5594922100403924
ES5,701800,2173345,11452690,1471545,0,13630275,4240,0.15944982768139307,0.1079615048118985,0.05148832286949456,0.025424247547625945,0.011655686521249584,0.0026510473919133166,ES,0.6770876229958888
ES51,251660,1154655,6362625,902990,0,7519840,2565,0.1535478148471244,0.12008101236196515,0.033466137577395264,0.023576931444326796,0.014419449529874428,0.0011199823643491473,ES,0.7820431211054385
